Gemini,Gpt,Llama,Core,GeminiContent,GptContent,LlamaContent,Tweet
Negative,Notr,Negative,Positive,"**-1**

The tweet expresses a negative sentiment towards a scent. The user states that they did not like the smell (""kokusu benim pek hoşuma gitmedi"") and also mentions that it is not long-lasting or noticeable (""hem kalıcı hemde iz bırakmıyor""). 
","0
The sentiment of the tweet is neutral. The person is stating their opinion about a scent, saying that they didn't particularly like it, but noting that it is long-lasting and doesn't leave a trail.","**-1**

The sentiment of this tweet is negative. The phrase ""kokusu benim pek hoşuma gitmedi"" translates to ""I didn't really like the scent"", which expresses a negative opinion towards the scent. The rest of the sentence ""ama hem kalıcı hemde iz bırakmıyor"" means ""but it's long-lasting and doesn't leave a mark"", which is more of a neutral description of the scent's properties, but it doesn't change the overall negative tone of the tweet.",kokusu benim pek hoşuma gitmedi ama hem kalıcı hemde iz bırakmıyor
Notr,Notr,Notr,Notr,"**0** 

The tweet states a factual observation about the screen's capabilities. There are no emotional indicators, making it neutral in sentiment. 
","0 
The sentiment of the tweet is neutral. The user is stating that a screen with an average number of pixels can easily perform basic tasks. No strong positive or negative emotions are expressed.","**0**

This tweet is neutral because it is a factual statement describing the capabilities of a screen without expressing any emotions or opinions. The sentence mentions the average pixel count and the ease with which the screen can perform basic tasks, but it does not use language that is either positive or negative. The tone is informative and objective, making the sentiment neutral.",Ortalama bir piksel sayısı ile bu ekran kolaylıkla temel görevleri gerçekleştirebilir .
Negative,Notr,Notr,Notr,"**-1**

The tweet expresses a negative sentiment. The phrase ""bu sıcaklığa o maddenin donma noktası denir"" translates to ""this temperature is called the freezing point of that substance"". This implies that the temperature is too cold, making it a negative comment. 
","0 

This tweet is neutral as it simply states a fact about the freezing point of a substance without expressing any strong positive or negative feelings.","**Score: 0**

This tweet is neutral in sentiment. The language used is factual and informative, simply stating a scientific concept about the temperature at which a substance's melting point is reached. There are no emotional words, adjectives, or exclamations that could suggest a positive or negative tone. The tweet presents a straightforward piece of information without expressing any sentiment or opinion.",Bu sıcaklığa o maddenin donma noktası denir .
Positive,Positive,Positive,Negative,"**+1** 

The tweet expresses positive sentiment towards the film, praising the beautiful summer day, the lead actor, and the overall experience. Words like ""unutulmaz"" (unforgettable), ""çok güzeldi"" (very beautiful), ""masum"" (innocent), and ""doyacaksınız"" (you'll get your fill) all contribute to the positive sentiment. 
","+1
This tweet expresses a very positive sentiment towards a particular experience with the August sun, Fredy Highmore, and a movie. The use of words like ""unutulmaz"" (unforgettable), ""güzeldi"" (it was beautiful), and ""çok masum"" (very innocent) indicate a strong positive sentiment. The overall tone of the tweet is enthusiastic and appreciative.","**+1**

The sentiment of this tweet is overwhelmingly positive. The user uses superlatives such as ""unforgettable"", ""very very beautiful"", and ""you'll get everything you need"" to express their enthusiasm for the film. The mention of a specific actor, Freedy Highmore, and their innocent portrayal also adds to the positive tone. The tone is optimistic and encouraging, with the user urging others to watch the film. The use of excited language, such as exclamation marks and enthusiastic phrasing, reinforces the positive sentiment.", bana iki saat boyunca unutulmaz bir an yaşattı ağustos güneşi..çok ama çok güzeldi..fredy highmore da çok masum...müziğe sinemaya sinemda olması gereken herşeye bu filmle doyacaksınız... duyun 
Notr,Notr,Notr,Notr,"**0** 

The tweet describes a physical characteristic of an animal, stating that it does not have stripes on its belly or tail. There's no emotional content or opinion expressed, making it a neutral statement. 
","0 
The tweet is neutral as it simply states a fact without expressing any positive or negative emotions.","**0** (Neutral)

The tweet is an observation about a specific part of the human body, stating that there are no lines or borders around the ear and the tailbone. The language used is neutral and factual, with no emotional connotation or opinion. The tone is informative and matter-of-fact, providing no clear sentiment either way.",Karnında ve kuyruğunun etrafında çizgi yoktur .
Positive,Positive,Positive,Positive,"**+1**

The tweet expresses positive sentiment. The user praises the product for its fast delivery and effectiveness for a ""kirli sakal"" (presumably a beard). The user also calls it a ""güzel ürün"" (beautiful product) and recommends it. 
","+1 
This tweet expresses positive sentiment as the user is satisfied with the fast shipping, product quality, and effectiveness for a dirty beard. The user also recommends the product to others.","**+1**

The sentiment of this tweet is positive. The user expresses satisfaction with the product's speed of delivery (""ürün hızlı kargolandı"") and likes the product, specifically mentioning it's ""iyi"" (good) for a specific use case (""kirli sakal için iyi""). They also describe the product as ""güzel"" (beautiful) and recommend it (""tavsiye ederim""). Overall, the tone is enthusiastic and approving.",ürün hızlı kargolandı. kirli sakal için iyi. güzel ürün... tavsiye ederim
Negative,Notr,Notr,Notr,"**-1** 

The tweet, translated as ""They are animals of different sexes,"" carries a negative sentiment. It likely implies a discriminatory or dehumanizing view towards a group of people, suggesting that they are not considered equal or deserving of respect. 
","0 
This tweet is neutral as it simply states a fact without expressing any positive or negative emotion.","**Score: 0**

The sentiment of the tweet is neutral. The tweet is stating a fact or description about animals being separate entities, rather than expressing a positive or negative emotion. The words used are objective and neutral, without any emotive language or tone that would indicate a positive or negative sentiment.",Ayrı eşeyli hayvanlardır .
Positive,Positive,Positive,Positive,"**+1** This tweet expresses positive sentiment. The user is impressed by the product's features, describing them as ""too many"" (in a good way) and ""very beautiful."" 
","+1 

This tweet expresses a positive sentiment towards the features of a product, stating that they are numerous and great.","**+1**

The sentiment of this tweet is positive. The phrase ""çok fazla"" means ""very many"" or ""too many"", but in this context, it's being used to emphasize the abundant number of features of the product, implying that the speaker is impressed by the product's characteristics. The phrase ""çok güzel"" means ""very beautiful"" or ""very good"", further reinforcing the positive sentiment. Overall, the tone of the tweet is enthusiastic and praises the product's features.",bu ürünün özellikleri çok fazla ve çok güzel
Notr,Notr,Notr,Notr,"**0** 

The tweet is neutral. It simply states a fact about someone's decision-making process regarding their roles, without expressing any opinion or judgment. 
","0  
The tweet is neutral, as it simply states that the person emphasized that they did not choose their roles for commercial or fame purposes.","**0**

The sentiment of this tweet is neutral. The language used is objective and factual, simply stating that someone selects their role neither for commercial nor for fame purposes. The tone is informative and does not express any emotional opinion or judgment, making it neutral.",Ayrıca rollerini ne ticari ne de şöhret amaçlı seçtiğini vurgulamaktadır .
Negative,Notr,Notr,Positive,"**-1**  The tweet expresses disappointment with the delivery time (""ürün elimize gec ulaşsada"") but acknowledges the product itself is good (""güzel urun""). This mixed sentiment leans slightly negative due to the initial complaint. 
","0 - This tweet is neutral. The individual is expressing satisfaction with the product, despite it arriving a bit late. The overall sentiment is neutral as there is no strong positive or negative emotion conveyed.","**0** (neutral)

The sentiment of this tweet is neutral because while it expresses a positive thought (""güzel"" means ""good"" or ""nice""), it's not overly enthusiastic or emotional. The message is straightforward and matter-of-fact, stating that a product will arrive, followed by a neutral assessment of its quality. The tone is informal and conversational, which also contributes to the neutral sentiment.",ürün elimize gec ulaşsada güzel urun.
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses positive sentiment. The user is happy with the fast shipping (""1 günde kargo""), the seller's responsiveness (""ilgili satıcı""), and the quality of the product (""telefon gercekten cok güzel""). The closing ""teşekkürler"" (thank you) reinforces the positive sentiment. 
","+1 
The sentiment of the tweet is positive as the author is expressing satisfaction with the quick delivery, the seller's responsiveness, and the quality of the phone. The use of positive words like ""ilgili"" (responsive) and ""güzel"" (beautiful) indicates a positive sentiment. The author also ends the tweet with ""teşekkürler"" (thank you), showing gratitude.","**+1**

The sentiment of this tweet is positive. The user is expressing their satisfaction with the customer service they received, stating that the phone call was ""çök güzel"" which means ""so good"" in Turkish. The user is thanking the seller, indicating a positive interaction. The mention of 1-day shipping (""1 günde kargo"") also implies a sense of efficiency and convenience, which adds to the overall positive tone of the tweet.",1 günde kargo. i̇lgili satıcı. telefon gercekten cok güzel. teşekkürler
Notr,Notr,Notr,Notr,"**0** 

The tweet is a factual statement about the appearance of varying shades of pink and red. It does not express any personal opinion or emotion. 
","0 
This tweet is neutral as it simply mentions the different tones of pink and red that can be seen due to changing amounts.","**0** (neutral)

The sentiment of this tweet is neutral because it is a factual statement about colors and their variations, without expressing any emotional tone or opinion. The tweet simply describes the appearance of different colors due to changing quantities, without conveying a positive or negative sentiment.",Değişen miktarlar nedeniyle pembe ve kırmızı gibi çeşitli tonlar da görülür .
Positive,Positive,Positive,Positive,"**+1**

The tweet expresses positive sentiment about a product that helps with aquarium water changes. The user praises the product's pump and faucet, calling it ""10 numara"" (meaning excellent) and highly recommending it. 
","+1

The sentiment of this tweet is positive. The author is recommending a product for aquarium cleaning, stating that it is very effective and giving it a perfect score. The use of positive language like ""10 numara"" and ""tavsiye ederim"" indicates a positive sentiment.","**+1**

The sentiment of this tweet is positive. The author is recommending a product (a 10-number rated aquarium pump) and mentions that it has multiple useful features, such as being able to draw water from the aquarium. The use of the phrase ""10 numara cıdden tavsiye ederim"" (I highly recommend from 10) is a strong positive endorsement, and the tone of the tweet is enthusiastic and encouraging.",akvaryum dip çekiminde hep akvaryum suyunu taşırırdım. aldığım ürünün suyu çekebilecek pompasının olması ve bunun yanında muslugununda olması 10 numara cıdden  tavsiye ederım
Notr,Notr,Negative,Notr,"**0** 

The tweet states ""There is no important stream.""  This statement is factual and does not convey any positive or negative emotion. 
","0 
The tweet is neutral and simply stating a fact that there is no important river.","**-1**

This tweet expresses a negative sentiment. The phrase ""Önemli bir akarsuyu yoktur"" translates to ""There is no important river."" The tone is melancholic and somewhat pessimistic, implying that the speaker is highlighting the lack of something significant or noteworthy.",Önemli bir akarsuyu yoktur .
Positive,Positive,Positive,Positive,"**+1** This tweet expresses positive sentiment. The user received their product this morning and is very satisfied with it, praising its quality and price. The words ""süpersiniz"" (you are amazing) and ""iyi"" (good) clearly indicate positive feelings. 
","+1 
This tweet expresses positive sentiment. The user is happy with the product they received and mentions that the price-quality balance is good. The overall tone is satisfied and appreciative.","**+1**

The sentiment of this tweet is positive. The user expresses satisfaction with their purchase, stating that the product arrived safely and that the price-quality ratio is good. The phrase ""süpersiniz"" is a Turkish phrase that translates to ""you're super"" or ""you're the best"", which further reinforces the positive sentiment. The overall tone is friendly and appreciative, with the user thanking the company (implied by the use of the pronoun ""ürümüz"" which means ""our product"") for their good service.",ürünü dğn aldım bu sabah elime ulaştı süpersiniz. ürün fiyat kalite dengesi iyi.
Positive,Notr,Negative,Positive,"**+1**

The tweet expresses positive sentiment about the product. The user mentions noticing a difference in just three days and highlights the benefits of the product, such as preventing plaque buildup and eliminating the need for batteries. 
","0 
The tweet is neutral, as the user is sharing their positive experience with a product they purchased recently. They mention the benefits of the product such as preventing plaque buildup and being rechargeable, which are seen as positive aspects.","**-1**

The sentiment of this tweet is negative. The user is complaining about a product they recently purchased, mentioning that it has been only 3 days and they have already noticed a difference, having to deal with the pressure from the product on their teeth. They also mention that it's making it difficult for their teeth to plaque, and on top of that, they feel it's being saved by being rechargeable, implying that it's not doing its job properly.",ürünü alalı daha 3 gün oldu degişikligin farkındayım dişleri yaptıgı baskı sayesinde dişlerin plak olsuumnuy engelliyor.birde sarjlı olması pil dedinden kurtarıyor adamı.
Notr,Notr,Notr,Notr,"**0** 

The tweet simply states a fact about the presence of villages near a location, without expressing any personal opinion or emotion. Therefore, it is classified as neutral. 
","0 
This tweet is neutral as it simply states the presence of villages around a mountain without expressing any positive or negative sentiment.","**0**

This tweet has a neutral sentiment. The language used is simple and informative, stating the presence of villages both in Yamacında and its surroundings. The tone is non-judgmental and lacks emotional connotation, making it a neutral statement.",Yamacında ve çevresinde köyler vardır .
Notr,Notr,Notr,Notr,"**0** 

This tweet is neutral. It simply states a fact about someone living in Akdeniz, without expressing any opinion or emotion. 
","0 
This tweet is neutral as it simply states ""Akdeniz’de yaşar,"" which translates to ""lives in the Mediterranean."" There is no positive or negative sentiment conveyed in the statement.","**0**

The sentiment of this tweet is neutral. The tweet simply states ""Akdeniz’de yaşar"" which translates to ""lives in Mediterranean"" and provides no emotional cues or opinionated content. It appears to be a factual statement about the location where someone lives, and therefore lacks any positive or negative sentiment.",Akdeniz’de yaşar .
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses extreme dissatisfaction with the hotel. The user uses strong negative words like ""rezalet"" (terrible), ""berbat"" (awful), and ""bin pişman oldum"" (I deeply regret it). The tweet details various issues including bad food, unprofessional staff, poor animation, and an unwelcoming environment for children. All these factors point towards a highly negative experience. 
","The sentiment of the tweet is clearly negative. The author had a bad experience at a hotel in June, describing it as terrible in various ways such as the food, staff, entertainment, and overall atmosphere. They warn others not to go and regret not heeding warnings themselves. 

Therefore, the sentiment score is **-1**.","**-1**

The sentiment of this tweet is overwhelmingly negative. The writer expresses disappointment and regret for choosing a hotel in June, stating that it was a ""crazy hotel"" with terrible food, rude staff, and a chaotic atmosphere. The writer specifically mentions that the staff acted like construction workers, implying a lack of professionalism. They also mention that the animation show was terrible, and that the hotel is not suitable for families, warning others not to make the same mistake they did. The strong negative language and explicit criticisms throughout the tweet contribute to its overall negative sentiment score.",rezalettiyorumlara aldandım haziran ayında gittim gittiğime bin pişman oldum çok rezalet bir hoteldi yemeklerinin berbatlığınımı anlatsam hoteldeki elemanların inşahat işçisi gibi olmasınamı herkes kendi havasındaydı gün kaldım günde kilo verdim animasyonu berbattı kızımın resmen gözlerini kapattım  rusu üstüste bir gösteri yaptılar çocuklara rağmen kesinlikle aile yeri değil tavsiye etmiyorum tatilinizi berbat geçirmeyin uyarıları dikkate alın ben almadım bin pişman oldum
Negative,Negative,Negative,Negative,"**-1**  The tweet expresses dislike (""ben beğenmedim"") and disappointment (""pek bişi bulamadım"").  The speaker only found value in the actors, implying the overall experience was negative. 
","-1
The sentiment of the tweet is negative as the person did not like something and mentioned that they couldn't find anything good without the actors.","**-1**

The sentiment of the tweet is negative. The user states that they did not enjoy the movie (ben beğenmedim), and that they couldn't find many redeeming qualities without the performances of the actors (oyuncular olmasa pek bişi bulamadım). The negative tone and criticism of the movie's quality lead to a sentiment score of -1.", ben beğenmedim. oyuncular olmasa pek bişi bulamadım... 
Positive,Positive,Positive,Positive,"**+1**

The tweet expresses positive sentiment. The words ""hızlı teslimat"" (fast delivery) and ""fiyat da çok uygun"" (very affordable price) convey satisfaction and appreciation. The phrase ""hepsiburada.coma çok teşekkürler"" (thank you very much hepsiburada.com) further reinforces the positive sentiment. 
","+1
This tweet expresses positive sentiment towards hepsiburada.com, thanking them for their fast delivery and affordable prices. The user is clearly satisfied with their experience.","**+1**

The sentiment of this tweet is positive. The phrase ""hızlı teslimat"" translates to ""fast delivery"", which is a favorable aspect. Additionally, the phrase ""fiyat da çok uygun"" means ""price is also very suitable"", which implies that the customer is satisfied with the price. The tweet ends with ""hepsiburada.com'a çok teşekkürler"", which means ""thank you very much to hepsiburada.com"", emphasizing the customer's gratitude for their positive experience.","hızlı teslimat, fiyat da çok uygun. hepsiburada.coma çok teşekkürler"
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses positive sentiment. The user is happy with their iPhone 7 purchase, mentioning that it arrived quickly, was in good condition, and that the company was helpful in resolving a minor issue with the invoice. The phrase ""gönül rahatlığıyla alış veriş yapılabilir"" (meaning ""you can shop with peace of mind"") further reinforces the positive sentiment. 
","+1
This tweet expresses positive sentiment towards the purchase of an iPhone 7. The user mentions that the product had no issues, was well packaged, and despite a small error on the invoice, the company promptly corrected it. The overall tone is satisfied and recommends shopping with the company.","**+1**

The sentiment of this tweet is positive. The user expresses satisfaction with their purchase experience, mentioning that the product did not have any issues and was well-packaged. They also praise the company for correcting a small error in their invoice quickly and efficiently, stating that it gave them a sense of security when making future purchases. The overall tone is enthusiastic and approving.","i phone 7 aldım, ertesi gün elime geçti. üründe sorun yoktu, güzel paketlenmişti. faturada ufak bir hata vardı ama firmayı aradığımda çok ilgilendiler ve hemen düzelttiler. gönül rahatlığıyla alış veriş yapılabilir."
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses positive sentiment. The user is praising the product's fast delivery and recommending it to others, highlighting its quality for children. The words ""çok iyi"" (very good) and ""tavsiye ediyorum"" (I recommend) clearly indicate a positive opinion. 
","+1
The sentiment of the tweet is positive. The user is expressing satisfaction with the quick delivery of the product and recommending it to others, stating that there is no need to look at other brands for their child.","**+1**

The sentiment of this tweet is positive. The language used is encouraging and endorsing, with the phrase ""aklılıkla"" (literally ""really good"") expressing enthusiasm. The writer is also recommending the product and advising others to consider it, stating that there is no need to look further. The tone is helpful and supportive, indicating a positive sentiment.",ürünün elime hemen ulaşması gerçekten çok iyi alacak olanlara tafsiye ediyorum çocuğunuz için başka markalara bakmanıza gerek yok
Negative,Notr,Negative,Notr,"**-1**  

The tweet expresses a sense of negativity or lack of knowledge, as it states that Sun is unaware of a certain aspect of his father. The use of ""Ancak"" (however) suggests a contrast or a negative realization. 
","0 
This tweet is neutral as it simply states a fact without expressing any positive or negative opinion.","**-1**

The sentiment of this tweet is negative because the user is implying that Sun (whoever that is) is unaware or doesn't know something about her father's behavior or orientation, which has a slightly critical or disapproving tone.",Ancak Sun babasının bu yönünü bilmemektedir .
Positive,Positive,Positive,Positive,"**+1** The tweet expresses strong positive sentiment using the phrase ""muhteşem ötesi,"" which translates to ""beyond magnificent"" in English. The user's enthusiasm is evident in their statement, ""I'm not saying anything else,"" suggesting they are so impressed by the film that words cannot describe it. 
","+1 
This tweet is positive as the author is describing the film as ""muhteşem ötesi"" which translates to ""beyond magnificent"" in English. Additionally, the author further emphasizes their positive sentiment by stating ""başka bir şey de demiyorum"" which means ""I have nothing else to say."" Overall, the tweet expresses strong admiration for the film.","**+1**

The sentiment of this tweet is positive. The user is complimenting the film, using the word ""muhteşem"" which means ""wonderful"" or ""amazing"" in Turkish. The phrase ""başka bir şey de demiyorum"" roughly translates to ""I'm not saying anything else"", which suggests that the user is extremely satisfied with the film and doesn't want to add any additional comments. The overall tone is enthusiastic and celebratory, indicating a positive sentiment.", muhteşem ötesi bir film.başka bir şey de demiyorum 
Notr,Notr,Notr,Notr,"**0**

The tweet is neutral. It simply states a fact that the person became a member of the Azerbaijani Composers Union. There are no emotional cues or opinions expressed. 
","0 
This tweet is neutral as it simply states a fact without expressing any positive or negative opinion.","**0** (Neutral)

The tweet does not express a clear sentiment, as it is a factual statement announcing that someone/organization has become a member of Azerbaycan Bestecileri Birliği during a certain period. The language used is neutral and does not contain any emotional or evaluative words that would indicate a positive or negative sentiment.",Bu süre içerisinde Azerbaycan Bestecileri Birliği üyesi oldu .
Positive,Notr,Notr,Notr,"**+1**

The tweet praises the young actor's performance in the series ""İstanbul'un Altınları"", indicating positive sentiment. 
","0 
The tweet is neutral, simply stating that a young actor has caught attention with their performance in a series called ""Altınları of Istanbul"". There is no clear positive or negative sentiment expressed in the tweet.","**0**

The sentiment of this tweet is neutral. The tweet simply states a fact about a young actor's performance in a TV series, without expressing any emotion or opinion that would lean it towards being positive or negative. The phrase ""dikkat çekmiştir"" means ""has caught attention"" or ""has drawn attention"", but this is a straightforward statement and not an expression of enthusiasm or criticism.",Genç oyuncu İstanbul’un Altınları dizisindeki performansı ile dikkat çekmiştir .
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses strong negative sentiment about the film. It criticizes the film as ""boring,"" ""no attractions,"" and ""a bomb."" The user also expresses dislike for Adrian Brody's appearance, specifically his nose. The tweet ends with a sarcastic ""hadi öptüm canlarim"" which further emphasizes the negativity. 
","-1 The sentiment of the tweet is negative. The person finds the movie boring and not worth watching, expressing disappointment in the lack of action. They also criticize the film as a knockoff of ""127 Hours"" and mention that they prefer James Franco over Adrian Brody. The overall tone is dismissive and unimpressed. ","**-1**

The sentiment of this tweet is overwhelmingly negative. The tweet contains several negative phrases, such as ""sakin izlemeyin"" (""don't watch it""), ""çok sikici"" (""very boring""), ""ilk yarida hiç bir atraksiyon yokkk"" (""there's no attraction in the first half""), ""bunlar ayri"" (""this is ridiculous""), and "" yazik adamcagiza da o ayri"" (""alas, the actor is too""). Additionally, the tweet mentions specific criticisms of the film, such as the actor's nose being ""çok garip"" (""very strange"") and being too prominent. The only positive tone is a brief mention of the actor James Franco, but it is quickly overshadowed by the overall negativity of the tweet.", sakin izlemeyin çok sikici biz uyuduk izlerken. zaten ilk yarida hiç bir atraksiyon yokkk. ikincide de yok gerçi. sonu bomb*k o ayri. bosverin izlemeyin. 127 saat çakmasi. james francoyu daha çok seviyorum ben zaten. adrian brody nin burnu çok garip. bu filmde burnu çok ön plana çikmis bir de. yazik adamcagiza da o ayri. hadi öptüm canlarim 
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses frustration and anger towards Big Hit Entertainment for not engaging with a specific post or tweet. The use of the word ""gerzek"" (which translates to ""idiot"" in Turkish) indicates strong negativity. 
","-1

This tweet has a negative sentiment as the user is expressing frustration towards someone who they believe should have engaged with their content in some way. The use of the word ""gerzek"" also adds to the negative tone.","**-1**

The sentiment of this tweet is negative. The user is expressing frustration and anger towards someone named ""Bighitin"" who failed to do something (""eline yapışmasa""). The tweet contains strong language and insults, such as ""gerzek"", which implies that the user is extremely upset and disappointed. The tone is aggressive and confrontational, indicating a strongly negative sentiment.",bighitin de keske eline yapışmasa da bi alıntılasa bi rt falan yapsa gerzek 
Negative,Negative,Negative,Negative,"**-1**

The tweet expresses a negative sentiment towards the film. The user describes it as ""short,"" ""aimless,"" and ""ridiculous,"" indicating a lack of enjoyment. Although they admit it's ""ideal for killing time,"" this is presented as a begrudging acceptance rather than a positive attribute. 
","-1 
The sentiment of the tweet is negative as the author describes the movie as short, purposeless, and silly. The overall tone suggests disappointment or disapproval.","**-1**

The sentiment of this tweet is negative. Despite the fact that the tweet states the film is ""ideal"" for passing time, the overall tone is one of disappointment and dismissal. Words such as ""short"", "" aimless"", and ""nonsensical"" convey a sense of frustration and boredom, indicating that the speaker did not enjoy the film. The negative tone outweighs the potential positivity of the film being ""ideal"" for passing time, resulting in a negative sentiment score."," exorcist in adını değiştirip tekrar piyasaya sürmüşler... kısa, bir amacı olmayan, saçma sayılabilecek, ama vakit öldürmek için ideal bir film... "
Notr,Notr,Notr,Positive,"**0**

The tweet describes the ingredients added to a dish. It doesn't express any opinion or feeling, making it neutral. 
","0 
This tweet is neutral as it simply describes the ingredients used in a meal without expressing any strong positive or negative emotions.","**Score: 0**

The tweet is neutral because it simply lists the ingredients used in a dish, without expressing any emotions, opinions, or judgments. The tone is informational and matter-of-fact, providing a list of ingredients and no emotional connotation.","i̇çine arpacık soğan tavuk eti, biber domates attık. "
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses strong positive sentiment. The user praises the acting and states that it was their first Turkish film, implying they enjoyed it. The phrase ""10 puan başka söze gerek yok"" translates to ""10 points, no need for other words,"" further reinforcing the positive sentiment. 
","+1

This tweet expresses a positive sentiment towards the actors and the first Turkish film the user watched, describing the performances as excellent and giving it a perfect score of 10. The use of words like ""mükemmel"" (excellent) and ""başka söze gerek yok"" (no need for other words) indicates a high level of satisfaction and enjoyment.","**+1**

The sentiment of this tweet is positive. The user is expressing enthusiasm and appreciation for a Turkish film, calling the acting ""mükemmel"" (excellent) and stating that they don't need to say anything else because the film deserves a perfect score of 10. The use of superlatives and the lack of criticism or negative comments convey a strong positive sentiment.", Mükemmel oyunculuklar ve sinemada izlediğim ilk Türk filmi. 10 puan başka söze gerek yok... 
Notr,Notr,Notr,Notr,"**0** 

The tweet provides factual information about Ekrem Baydar's retirement from the army. It does not express any opinion or emotion, making it neutral. 
","0 
This tweet is neutral as it simply states a fact about Ekrem Baydar retiring from the military with the rank of Major General.","**0**

The sentiment of this tweet is neutral, as it is a factual statement announcing the retirement of Ekrem Baydar Korgeneral from the military with the rank of Korgeneral. The tone is straightforward and objective, without any emotional language or evaluative statements that could sway the sentiment towards positive or negative.",Ekrem Baydar Korgeneral rütbesi ile ordudan emekli olmuştur .
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses satisfaction with the delivery and product, using positive words like ""gerçekten iyi"" (really good) and ""teşekkürler"" (thank you). This indicates a positive sentiment. 
","+1

Explanation: The tweet expresses positive sentiment, as the user is pleased with the delivery of the product, stating that it is better than expected. Additionally, the user says ""thank you,"" indicating satisfaction.","**+1**

The sentiment of this tweet is positive. The user is expressing gratitude and satisfaction with the delivery of the product, stating that it was better than expected. The use of the word ""teşekkürler"" (thank you) explicitly conveys appreciation and positivity.",teslimat urun gercekten bekledigimden iyi.tesekkurler.
Positive,Positive,Positive,Positive,"**+1**

The tweet expresses strong positive sentiment. The user highlights the phone as a ""perfect alternative"" to classic phones, emphasizes its lack of shortcomings compared to flagship phones, praises its unique hardware and software, and expresses personal enjoyment (""çok hoşuma gitti"").  
","+1
The sentiment of the tweet is positive. The author seems to be impressed with the alternative phone, mentioning that it has no shortcomings compared to flagship phones, unique hardware and software, different design, slim edges, and good performance. The overall tone is enthusiastic and approving.","**+1**

The sentiment of this tweet is overwhelmingly positive. The user expresses their excitement and satisfaction with a classic phone alternative, stating that it has no flaws compared to flagship phones. They also praise its unique design, performance, and overall user experience. The tone is enthusiastic and encouraging, with the user explicitly stating that they really like it.",piyasadaki klasik telefonlardan sıkıldıysanız mükemmel bir alternatif. amiral gemisi telefonlardan hiçbir eksiği yok. android bir cihaz olmasına rağmen donanım ve yazılımı şahsına münhasır izlenimi veriyor. farklı bir telefon olduğu kesin. kenar kavisleri telefonu çok ince gösteriyor. performans güzel. çok hoşuma gitti.
Negative,Negative,Negative,Negative,"**-1** This tweet expresses a negative sentiment. The user criticizes the film, mentioning it's ""very bad,"" ""overly exaggerated,"" and ""not even a comedy."" They also complain that the plot deviates from the main storyline. 
","-1
The sentiment of the tweet is negative as the author expresses disappointment and criticism towards the film. They mention that the film is very bad, overly exaggerated, not like a comedy film, and it deviates significantly from the main plot.","**-1**

The sentiment of this tweet is negative. The user expresses disappointment and frustration with the film, stating that it's very bad and overly dramatic. They also mention that it's not even a comedy film, implying that it lacks focus and has strayed from its main point. The overall tone is critical and unhappy, indicating a negative sentiment.", Çok kötü bir film.Fazla abartı var filmde.Yani komedi filmi gibi de değil.Filmin seyri ana konusundan çok uzaklaşıyor. 
Negative,Negative,Negative,Notr,"**-1** 

The tweet states ""Sharia law is valid"", which is a statement that can be interpreted as negative due to the potential for Sharia law to be seen as restrictive or oppressive. 
","-1
The sentiment of the tweet is negative because it is promoting Sharia law, which is often associated with oppressive and restrictive practices.","**-1**

The sentiment of this tweet is negative. The word ""Şeriat"" is often associated with Islamic law, and the phrase ""geçerlidir"" means ""is valid"". However, the tweet's tone is more like a statement of fact or a controversial opinion, which could be perceived as negative or critical. The lack of context and emotional expression also contribute to the negative sentiment score.",Şeriat kanunları geçerlidir .
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses overwhelmingly positive sentiment. The user describes the book and the film as ""enfes"" (meaning exquisite), ""güzel"" (beautiful), and ""iyi"" (good) multiple times. They also highlight specific positive aspects like the well-written script, the excellent acting of Ben Whishaw and Dustin Hoffman, and the overall enjoyment they derived from watching the film. 
","The sentiment of the tweet is **+1** (positive) because the author expresses enthusiasm and satisfaction about both the book ""Koku"" and its film adaptation, praising the well-written screenplay and the performances of the actors. The author recommends the film to others, emphasizing their enjoyment in watching it.","**+1**

The sentiment of this tweet is overwhelmingly positive. The use of superlatives such as ""enfes"" (excellent), ""güzel"" (beautiful), and ""iyi"" (good) emphasizes the author's enthusiasm and admiration for the book and film. The author also explicitly states that the film is ""daha da güzel"" (even more beautiful) than the book, indicating a high level of satisfaction. Additionally, the mention of the actors' performances, specifically highlighting their talent, adds to the overall positive tone. The author's recommendation to ""Bu filmi görün"" (see this film) further reinforces their positive sentiment."," Patrick Süskind’in 18. yüzyıl Fransasında geçen enfes bir gerilim romanı Koku’yu bir nefeste okumuştum!.. Filmi de ayni ölçüde güzel.. Hatta daha da güzel..İyi yazılmış bir senaryo.. İyi çekilmiş, iyi oynanmış bir film.İngiliz tiyatrosunun başarılı Hamlet oyuncusu Ben Whishaw ve kısa rolünde gene dev Dustin Hoffman’ı izlemek ayrı bir keyif.. Bu filmi görün. "
